Name,Nationality,Age,Height(cm),Weight(kg),Overall,Potential,Club,Preferred Foot,W/F,Best Position,Value(Thousand$),IR
L. Messi,Argentina,33,170,72,93,93,FC Barcelona,Left,5,RW,103000.0,5
Cristiano Ronaldo,Portugal,35,187,83,92,92,Juventus,Right,5,ST,63000.0,5
J. Oblak,Slovenia,27,188,87,91,93,Atlético Madrid,Right,3,GK,120000.0,3
K. De Bruyne,Belgium,29,181,70,91,91,Manchester City,Right,4,CAM,129000.0,4
Neymar Jr,Brazil,28,175,68,91,91,Paris Saint-Germain,Right,5,LW,132000.0,5
R. Lewandowski,Poland,31,184,80,91,91,FC Bayern München,Right,4,ST,111000.0,4
M. Salah,Egypt,28,175,71,90,90,Liverpool,Left,3,RW,120000.0,3
Alisson,Brazil,27,191,91,90,91,Liverpool,Right,3,GK,102000.0,3
K. Mbappé,France,21,178,73,90,95,Paris Saint-Germain,Right,3,ST,185000.0,3
M. ter Stegen,Germany,28,187,85,90,93,FC Barcelona,Right,3,GK,110000.0,3
V. van Dijk,Netherlands,28,193,92,90,91,Liverpool,Right,3,CB,113000.0,3
S. Mané,Senegal,28,175,69,90,90,Liverpool,Right,3,LW,120000.0,3
Casemiro,Brazil,28,185,84,89,89,Real Madrid,Right,3,CDM,90000.0,3
T. Courtois,Belgium,28,199,96,89,90,Real Madrid,Left,4,GK,82000.0,4
M. Neuer,Germany,34,193,92,89,89,FC Bayern München,Right,5,GK,17000.0,5
K. Benzema,France,32,185,81,89,89,Real Madrid,Right,4,CF,83000.0,4
Sergio Ramos,Spain,34,184,82,89,89,Real Madrid,Right,4,CB,33000.0,4
S. Agüero,Argentina,32,173,70,89,89,Manchester City,Right,4,ST,83000.0,4
R. Sterling,England,25,170,69,88,90,Manchester City,Right,3,LW,114000.0,3
N. Kanté,France,29,168,70,88,88,Chelsea,Right,3,CDM,78000.0,3
J. Kimmich,Germany,25,176,73,88,90,FC Bayern München,Right,3,CDM,103000.0,3
P. Dybala,Argentina,26,177,75,88,89,Juventus,Left,3,CAM,109000.0,3
Ederson,Brazil,26,188,86,88,91,Manchester City,Left,2,GK,92000.0,2
H. Kane,England,26,188,89,88,89,Tottenham Hotspur,Right,3,ST,109000.0,3
S. Handanovič,Slovenia,35,193,92,88,88,Inter,Right,3,GK,10000.0,3
K. Koulibaly,Senegal,29,187,89,88,88,Napoli,Right,3,CB,76000.0,3
E. Hazard,Belgium,29,175,74,88,88,Real Madrid,Right,4,LW,89000.0,4
T. Kroos,Germany,30,183,76,88,88,Real Madrid,Right,4,CM,87000.0,4
A. Griezmann,France,29,176,73,87,87,FC Barcelona,Left,4,ST,79000.0,4
J. Sancho,England,20,180,76,87,93,Borussia Dortmund,Right,3,CAM,124000.0,3
T. Alexander-Arnold,England,21,180,69,87,92,Liverpool,Right,2,RB,114000.0,2
Bernardo Silva,Portugal,25,173,64,87,88,Manchester City,Left,2,RW,95000.0,2
A. Robertson,Scotland,26,178,64,87,89,Liverpool,Left,3,LB,90000.0,3
A. Laporte,France,26,189,85,87,90,Manchester City,Left,2,CB,92000.0,2
Bruno Fernandes,Portugal,25,179,69,87,90,Manchester United,Right,2,CAM,105000.0,2
Fabinho,Brazil,26,188,78,87,89,Liverpool,Right,3,CDM,88000.0,3
H. Son,Korea Republic,27,183,78,87,87,Tottenham Hotspur,Right,3,LM,85000.0,3
Roberto Firmino,Brazil,28,181,76,87,87,Liverpool,Right,3,CF,81000.0,3
K. Navas,Costa Rica,33,185,80,87,87,Paris Saint-Germain,Right,3,GK,26000.0,3
G. Chiellini,Italy,35,187,85,87,87,Juventus,Left,4,CB,21000.0,4
Sergio Busquets,Spain,31,189,76,87,87,FC Barcelona,Right,4,CDM,56000.0,4
P. Aubameyang,Gabon,31,187,80,87,87,Arsenal,Right,3,ST,67000.0,3
W. Szczęsny,Poland,30,195,90,87,87,Juventus,Right,3,GK,53000.0,3
A. Di María,Argentina,32,180,69,87,87,Paris Saint-Germain,Left,4,RW,63000.0,4
L. Modrić,Croatia,34,172,66,87,87,Real Madrid,Right,4,CM,36000.0,4
L. Suárez,Uruguay,33,182,83,87,87,Atlético Madrid,Right,5,ST,51000.0,5
H. Lloris,France,33,188,82,87,87,Tottenham Hotspur,Left,4,GK,26000.0,4
C. Immobile,Italy,30,185,85,87,87,Lazio,Right,3,ST,78000.0,3
T. Müller,Germany,30,186,75,86,86,FC Bayern München,Right,4,CAM,65000.0,4
De Gea,Spain,29,192,82,86,86,Manchester United,Right,4,GK,46000.0,4
Carvajal,Spain,28,173,73,86,86,Real Madrid,Right,3,RB,61000.0,3
R. Varane,France,27,191,81,86,88,Real Madrid,Right,3,CB,72000.0,3
M. Verratti,Italy,27,165,60,86,87,Paris Saint-Germain,Right,3,CM,77000.0,3
P. Pogba,France,27,191,84,86,87,Manchester United,Right,4,CM,77000.0,4
J. Vardy,England,33,179,74,86,86,Leicester City,Right,3,ST,43000.0,3
Piqué,Spain,33,194,85,86,86,FC Barcelona,Right,4,CB,32000.0,4
M. Hummels,Germany,31,191,94,86,86,Borussia Dortmund,Right,4,CB,46000.0,4
Y. Sommer,Switzerland,31,183,79,86,86,Borussia Mönchengladbach,Right,3,GK,36000.0,3
David Silva,Spain,34,173,67,86,86,Real Sociedad,Left,4,CAM,32000.0,4
A. Gómez,Argentina,32,167,68,86,86,Atalanta,Right,3,CAM,54000.0,3
Jordi Alba,Spain,31,170,68,86,86,FC Barcelona,Left,3,LB,49000.0,3
J. Henderson,England,30,182,80,86,86,Liverpool,Right,2,CDM,57000.0,2
Rodri,Spain,24,191,82,85,88,Manchester City,Right,2,CDM,66000.0,2
S. Milinković-Savić,Serbia,25,191,76,85,89,Lazio,Right,2,CM,74000.0,2
M. Depay,Netherlands,26,176,78,85,88,Olympique Lyonnais,Right,3,CAM,71000.0,3
K. Havertz,Germany,21,188,83,85,93,Chelsea,Left,3,CAM,121000.0,3
M. de Ligt,Netherlands,20,189,89,85,92,Juventus,Right,3,CB,99000.0,3
M. Škriniar,Slovakia,25,188,80,85,89,Inter,Right,1,CB,67000.0,1
M. Rashford,England,22,186,70,85,91,Manchester United,Right,2,RM,86000.0,2
G. Donnarumma,Italy,21,196,90,85,92,Milan,Right,3,GK,93000.0,3
S. Gnabry,Germany,24,175,75,85,87,FC Bayern München,Right,3,RM,70000.0,3
L. Sané,Germany,24,184,75,85,90,FC Bayern München,Left,2,LM,81000.0,2
H. Ziyech,Morocco,27,181,65,85,86,Chelsea,Left,3,CAM,62000.0,3
C. Lenglet,France,25,186,81,85,89,FC Barcelona,Left,2,CB,67000.0,2
Marquinhos,Brazil,26,183,75,85,89,Paris Saint-Germain,Right,3,CB,66000.0,3
R. Mahrez,Algeria,29,179,67,85,85,Manchester City,Left,3,RW,53000.0,3
